Id	AdmLevel	Country	AdmDiv1	AdmDiv2	GadmId	Latitude	Longitude	GadmName
LA__Champasak__Mounlapamok	2	LA	Champasak	Mounlapamok	LAO.4.4_1	14.2900919540011	105.568400712842	Moonlapamok
LA__Champasak__Pakse	2	LA	Champasak	Pakse	LAO.4.6_1	15.131438687981	105.816114034902	Pakxe
LA__Champasak__Paksong	2	LA	Champasak	Paksong	LAO.4.5_1	15.098604940372	106.433568059703	Paksong
LA__Champasak__Pathoumphone	2	LA	Champasak	Pathoumphone	LAO.4.7_1	14.6848781559548	106.063175280748	Pathoomphone
LA__Salavan__Salavan	2	LA	Salavan	Salavan	LAO.11.5_1	15.7159241636847	106.361663563377	Saravane
LA__Salavan__Samuoi	2	LA	Salavan	Samuoi	LAO.11.4_1	16.3592348542605	106.875707458274	Samuoi
LA__Salavan__Ta Oy	2	LA	Salavan	Ta Oy	LAO.11.6_1	16.0777702965001	106.703286470525	Ta Oi
LA__Salavan__Toomlarn	2	LA	Salavan	Toomlarn	LAO.11.7_1	16.0228634684767	106.238499006988	Toomlarn
LA__Salavan__Vapy	2	LA	Salavan	Vapy	LAO.11.8_1	15.7502487477029	105.955301040195	Vapy
LA__Savannakhet__Khanthabouly	2	LA	Savannakhet	Khanthabouly	LAO.12.4_1	16.5824877255991	104.867343491995	Khanthabouly
LA__Savannakhet__Nong	2	LA	Savannakhet	Nong	LAO.12.5_1	16.3846666242141	106.504339823517	Nong
LA__Savannakhet__Phine	2	LA	Savannakhet	Phine	LAO.12.7_1	16.4434465711458	106.03025681204	Phine
LA__Savannakhet__Sepone	2	LA	Savannakhet	Sepone	LAO.12.9_1	16.1712627518478	105.306605169221	Songkhone
LA__Savannakhet__Thapanthong	2	LA	Savannakhet	Thapanthong	LAO.12.10_1	16.0914954126748	105.810610250812	Thapangthong
LA__Savannakhet__Thaphalanxay	2	LA	Savannakhet	Thaphalanxay	LAO.12.11_1	16.7030717515959	105.609975004663	Thaphalanxay
LA__Savannakhet__Vilabuly	2	LA	Savannakhet	Vilabuly	LAO.12.12_1	16.9406036985239	105.936666009977	Vilabuly
LA__Sekong__Kaleum	2	LA	Sekong	Kaleum	LAO.17.2_1	15.8630936022094	107.033126246606	Kaleum
LA__Sekong__Lamarm	2	LA	Sekong	Lamarm	LAO.17.3_1	15.4128091458168	106.817138568469	Lamarm
LA__Sekong__Thateng	2	LA	Sekong	Thateng	LAO.17.4_1	15.4278049268237	106.48139862686	Thateng
MM__Bago__Pyay	2	MM	Bago	Pyay	MMR.2.2_1	18.748173883392	95.3203926091979	Pyay
MM__Mandalay__Pyin Oo Lwin	2	MM	Mandalay	Pyin Oo Lwin	MMR.8.5_1	22.8091746880055	96.1831744727197	Pyin-Oo-Lwin
MM__Rakhine__Kyaunkpyu	2	MM	Rakhine	Kyaunkpyu	MMR.11.2_1	19.9177254188509	94.0311617480767	Kyaunkpyu
TH__Sisakhet__Kantharalak	2	TH	Sisakhet	Kantharalak	THA.62.6_1	14.5690266393141	104.671015715913	Kantharalak
TH__Sisakhet__Khun Han	2	TH	Sisakhet	Khun Han	THA.62.9_1	14.5354178724872	104.406897762477	Khun Han
TH__Sisakhet__Phu Sing	2	TH	Sisakhet	Phu Sing	THA.62.16_1	14.4894335952384	104.153761975046	Phu Sing
TH__Tak__Mae Ramat	2	TH	Tak	Mae Ramat	THA.69.3_1	17.096086387316	98.590042207114	Mae Ramat
TH__Tak__Mae Sot	2	TH	Tak	Mae Sot	THA.69.4_1	16.7353930998992	98.7256366198389	Mae Sot
TH__Tak__Phop Phra 	2	TH	Tak	Phop Phra 	THA.69.6_1	16.4721285893151	98.8337151195726	Phop Phra
